example_id,dataset_type,response,accuracy,g_nll,average_nll,perplexity,avg_token_probability,sequence_length
dpql_3081--77/77_636065.txt#0_2,short,donald trump,1.0,0.057121010911941994,0.014280252727985498,1.0143827026262298,0.9858818806192788,4
qw_11987--33/33_444596.txt#0_0,short,puerto rico,1.0,0.06445912318304181,0.02148637439434727,1.0217188687041439,0.9788552533191669,3
odql_13428--179/179_2328241.txt#0_2,short,romania,1.0,0.15764052025224373,0.052546840084081246,1.0539519281193042,0.9505203804116428,3
wh_252--162/162_2659147.txt#0_1,short,the battle of the Somme,1.0,1.353673068541866,0.1933818669345523,1.2133460417974227,0.8736054266780942,7
qz_3971--21/21_196365.txt#0_0,short,michelle ryan,1.0,0.07209660383340832,0.014419320766681665,1.014523780648666,0.9857758664398023,5
qg_762--191/191_2525665.txt#0_2,short,adam's apple,0.0,0.15283071692101657,0.038207679230254143,1.0389469781835168,0.9637927815686255,4
qb_2537--177/177_336227.txt#0_1,short,transfusion,0.0,0.10579279571538791,0.035264265238462635,1.0358934232539407,0.9661222866712958,3
tc_2182--78/78_65006.txt#0_0,short,mae west,1.0,0.8856621903721589,0.22141554759303972,1.2478418605220782,0.8488398091556615,4
sfq_14528--95/95_493438.txt#0_0,short,ship,0.0,6.523057699203491,3.2615288496017456,26.08939342637291,0.052939116343812036,2
bb_8426--98/98_1020444.txt#0_1,short,goat,1.0,0.12199973873794079,0.060999869368970394,1.0628987753396248,0.9418376357092528,2
odql_9757--12/12_139633.txt#0_2,short,goliath,1.0,0.5983963064095406,0.14959907660238514,1.1613685295601142,0.8867576353445548,4
bb_4945--Germany.txt#0_0,short,bundesliga,0.0,0.9228661056840792,0.2307165264210198,1.2595021532562554,0.8356296306345392,4
qz_5999--134/134_385487.txt#0_0,short,stan getz,0.0,1.8094930425273787,0.4523732606318447,1.5720386192086024,0.7246285096623725,4
qf_944--160/160_2466400.txt#0_1,short,basketball,1.0,0.018305400852113962,0.009152700426056981,1.0091947144714324,0.9908967998965164,2
dpql_127--7/7_554431.txt#0_1,short,melrose,1.0,0.9313248650723835,0.31044162169079453,1.3640273652101342,0.7924401504827133,3
odql_5884--11/11_405432.txt#0_0,short,indian ocean,0.0,0.543491305783391,0.18116376859446368,1.1986114581344127,0.8578212355018042,3
qz_1794--3/3_142632.txt#0_1,short,sunday post,1.0,0.15978885802906007,0.05326295267635336,1.0547069466735615,0.949933523470211,3
qb_6369--37/37_442927.txt#0_0,short,bosworth field,0.0,1.32372201997714,0.330930504994285,1.3922630336186324,0.795496998220844,4
odql_6714--124/124_3212527.txt#0_0,short,oasis,1.0,0.10553970001637936,0.05276985000818968,1.0541869960690766,0.9489582536237673,2
bb_4857--20/20_940277.txt#0_1,short,barbator,0.0,1.03488090634346,0.258720226585865,1.2952713716369526,0.787990458863542,4
odql_11176--12/12_2284937.txt#0_0,short,bcc,1.0,0.10260336226201616,0.03420112075400539,1.0347927040899532,0.9671886227258729,3
bt_3472--182/182_791380.txt#0_1,short,ice,0.0,3.6206631660461426,1.8103315830230713,6.11247388881324,0.2077310248154602,2
qw_15697--74/74_1333011.txt#0_0,short,kis,0.0,3.4983403086662292,1.1661134362220764,3.209494461859694,0.3423689003615225,3
tb_1169--191/191_2063376.txt#0_2,short,luxor,1.0,0.10957634076089562,0.03652544692029854,1.0372006972454115,0.9650139906710519,3
qw_11463--117/117_93387.txt#0_0,short,moon,1.0,0.06948451325297356,0.03474225662648678,1.0353528190782066,0.9660247577929859,2
wh_2955--50/50_794801.txt#0_0,short,italy,0.0,0.5999116076836799,0.19997053589455996,1.2213667711506837,0.8439626941001741,3
qg_4089--181/181_2265370.txt#0_2,short,washington,1.0,0.04464653134346008,0.02232326567173004,1.0225742942124456,0.977983632797653,2
bb_5497--152/152_643813.txt#0_2,short,portugal,1.0,0.023740120651382313,0.00791337355046077,1.0079447670457833,0.9921633176521866,3
sfq_17967--123/123_103337.txt#0_0,short,charles atlas,0.0,0.013550713470976916,0.003387678367744229,1.0033934230353028,0.9966212393253678,4
bb_3805--121/121_2943039.txt#0_2,short,coconut shy,0.0,0.045321233570575714,0.022660616785287857,1.022919318983267,0.9775945843007191,2
sfq_6274--62/62_943590.txt#0_0,short,giuliano bugiardini,0.0,4.371278167189303,0.6244683095984718,1.867252893013766,0.806084193074196,7
sfq_7181--189/189_1916422.txt#0_1,short,sternum,0.0,0.01482884312281385,0.004942947707604617,1.0049551842268087,0.9950794548888847,3
qg_488--37/37_82446.txt#0_0,short,galileo galilei,1.0,0.16278978229820495,0.02713163038303416,1.0275030444816484,0.97357796472182,6
qf_1931--68/68_2482724.txt#0_0,short,midnight cowboy,1.0,0.029700138606131077,0.009900046202043692,1.0099492137792587,0.9901801930705759,3
qf_1696--66/66_26750.txt#0_0,short,tanzania,1.0,0.14801737474374477,0.03700434368593619,1.0376975282605272,0.9650354671120837,4
qb_1494--24/24_306802.txt#0_1,short,sheffield,1.0,0.04139953802223317,0.013799846007411057,1.0138955033949162,0.9863851998505556,3
qb_5390--56/56_2628509.txt#0_1,short,malvinas,0.0,0.13358226487707725,0.03339556621926931,1.0339594577923874,0.9682180516654418,4
qw_661--149/149_1063026.txt#0_1,short,france,1.0,0.026257462333887815,0.013128731166943908,1.013215291351634,0.9869739820826131,2
qb_8182--60/60_558286.txt#0_0,short,smell,1.0,0.06590495817363262,0.03295247908681631,1.0335014251428418,0.9678140762629224,2
sfq_14324--47/47_1545305.txt#0_1,short,audi,1.0,0.021022357046604156,0.021022357046604156,1.0212448834017547,0.9791970723701564,1
bt_4353--105/105_2445487.txt#0_0,short,sheryl crow,1.0,0.052072396014409605,0.013018099003602401,1.0131032033524041,0.9872255787013112,4
tc_2257--150/150_49392.txt#0_0,short,december,1.0,0.3500560633838177,0.17502803169190884,1.1912796097273204,0.8494563135498462,2
sfq_20420--125/125_1922602.txt#0_1,short,wisconsin,1.0,0.02709927680916735,0.00903309226972245,1.0090740137707899,0.9910436731978169,3
