Scheme,AUROC
nll_proportional,0.7530666666666667
surprisal,0.7506133333333334
nll_sqrt,0.7500800000000001
first_last_k,0.7435733333333334
high_uncertainty_only,0.7326933333333334
edges_peak,0.7249066666666668
nll_cubic,0.7211733333333334
nll_quartic,0.71584
first_k,0.7154133333333332
uniform,0.7152
nll_quintic,0.7125333333333335
low_uncertainty_only,0.7096533333333332
recency_bias,0.70848
quadratic_decreasing,0.70752
exponential_decreasing,0.70656
linear_decreasing,0.7058133333333333
nll_cubic_negate_end,0.7034666666666667
unweight_middle,0.70272
negate_last_5,0.7009066666666667
negate_first_3,0.7005866666666667
nll_squared_middle_focus,0.6996266666666666
nll_squared_negate_end,0.6983466666666667
negate_first_20pct,0.6911999999999999
gaussian_middle,0.6898133333333334
negate_last_20pct,0.6876800000000001
negate_last_3,0.6868266666666666
unweight_end,0.6849066666666667
nll_cubic_middle_focus,0.6819200000000001
linear_increasing,0.6785066666666666
last_k,0.6754133333333333
confidence_proportional,0.67456
unweight_beginning,0.6727466666666666
only_beginning,0.6698666666666667
exponential_increasing,0.6632533333333333
quadratic_increasing,0.6557866666666666
middle_peak,0.6546133333333334
only_middle,0.6010666666666666
only_end,0.5942400000000001
