Scheme,AUROC
nll_quintic,0.6375189943362343
nll_quartic,0.6335129161486394
nll_cubic,0.6250863378919741
first_k,0.6165216190081503
nll_cubic_negate_end,0.6103052907860201
first_last_k,0.6101671501588617
nll_cubic_middle_focus,0.6057466500897914
nll_squared_negate_end,0.5987014781047106
confidence_proportional,0.5970437905788093
edges_peak,0.5967675093244923
low_uncertainty_only,0.5958005249343832
uniform,0.5944191186627988
last_k,0.5917944467467882
quadratic_increasing,0.5915181654924714
linear_increasing,0.591103743610996
exponential_increasing,0.5906893217295206
high_uncertainty_only,0.5887553529493024
negate_last_3,0.588617212322144
nll_squared_middle_focus,0.5866832435419257
nll_proportional,0.5862688216604504
recency_bias,0.5832297278629646
unweight_end,0.5810194778284293
negate_first_3,0.5808813372012709
gaussian_middle,0.5797762121840033
exponential_decreasing,0.5790855090482111
unweight_middle,0.5786710871667357
linear_decreasing,0.5783948059124189
quadratic_decreasing,0.5778422434037851
negate_first_20pct,0.57563199336925
unweight_beginning,0.575355712114933
negate_last_20pct,0.5730073214532394
middle_peak,0.5723166183174472
only_end,0.5710733526730212
surprisal,0.5692775245199614
nll_sqrt,0.5670672744854262
negate_last_5,0.5667909932311093
only_beginning,0.5520099461251554
only_middle,0.550352258599254
