Scheme,AUROC
quadratic_decreasing,0.6799127272727272
exponential_decreasing,0.6778472727272726
linear_decreasing,0.67392
only_beginning,0.673250909090909
negate_last_20pct,0.6626909090909091
unweight_end,0.6615272727272727
negate_last_5,0.6558545454545455
first_k,0.6551854545454546
negate_last_3,0.6524509090909091
confidence_proportional,0.6400872727272726
middle_peak,0.6371199999999999
gaussian_middle,0.6315636363636363
low_uncertainty_only,0.6282472727272727
uniform,0.6273454545454545
high_uncertainty_only,0.6241454545454546
nll_cubic_middle_focus,0.6210327272727273
first_last_k,0.6187054545454546
edges_peak,0.61792
unweight_middle,0.612189090909091
nll_squared_middle_focus,0.6112290909090909
only_middle,0.6061672727272727
recency_bias,0.6039854545454545
negate_first_3,0.6029672727272727
negate_first_20pct,0.5918254545454545
nll_squared_negate_end,0.5885672727272727
nll_cubic_negate_end,0.5876072727272728
surprisal,0.5814690909090909
nll_quintic,0.5758545454545454
nll_quartic,0.5708509090909091
unweight_beginning,0.5694836363636363
nll_cubic,0.5618036363636363
linear_increasing,0.5550545454545455
last_k,0.5540363636363637
nll_sqrt,0.5403054545454544
nll_proportional,0.5348363636363637
exponential_increasing,0.5284072727272726
quadratic_increasing,0.5218909090909091
only_end,0.5172945454545455
