Scheme,AUROC
quadratic_decreasing,0.680291723202171
only_beginning,0.6800090456806875
linear_decreasing,0.6792175486205337
exponential_decreasing,0.6791892808683854
unweight_end,0.6767299864314789
high_uncertainty_only,0.6729421076436002
low_uncertainty_only,0.6709916327453641
uniform,0.6688150158299411
negate_last_3,0.6681931252826774
surprisal,0.6676560379918588
negate_last_20pct,0.6675995024875623
negate_first_20pct,0.6640943012211669
edges_peak,0.6629353233830846
gaussian_middle,0.6625961103573044
negate_last_5,0.6605890999547716
confidence_proportional,0.6591191768430574
negate_first_3,0.658271144278607
unweight_middle,0.6561510628674807
middle_peak,0.6538896426956128
first_k,0.6531264133876074
recency_bias,0.652532790592492
nll_sqrt,0.6478120759837178
nll_proportional,0.6395861601085482
nll_squared_negate_end,0.6385685210312075
nll_cubic_negate_end,0.6382575757575757
first_last_k,0.6363919041157848
linear_increasing,0.6328867028493894
nll_quintic,0.6325474898236092
nll_quartic,0.6323213478064224
nll_cubic,0.6321800090456807
unweight_beginning,0.6319255992763455
nll_squared_middle_focus,0.6278833107191316
only_middle,0.6278833107191315
nll_cubic_middle_focus,0.6230495251017638
exponential_increasing,0.6174242424242424
quadratic_increasing,0.6121099050203528
last_k,0.6047320217096336
only_end,0.5894391677973767
